Reference,Value,Qty,Role,Notes
J1,C64 User Port edge connector,1,C64 interface,3.96 mm / 0.156 in pitch; verify board thickness and keying
U1,TI MAX3243EIPWR,1,RS-232 transceiver,Active 28-pin TSSOP PW; 3 drivers / 5 receivers; -40C to 85C
J2,DE-9 female DTE,1,RS-232 interface,Panel/PCB mount; verify mechanical orientation
C1,47nF,1,Charge pump,TI MAX3243E 5V baseline C1; ceramic
C2,330nF,1,Charge pump,TI MAX3243E 5V baseline C2; ceramic
C3,330nF,1,Charge pump,TI MAX3243E V+ storage at 5V; ceramic
C4,330nF,1,Charge pump,TI MAX3243E V- storage at 5V; ceramic
C5,100nF,1,Decoupling,VCC to GND near U1; ceramic
F1,100mA resettable fuse,1,+5V protection,Final part/footprint to be selected during PCB review
LED1,TX LED,1,Optional status,Not populated in M1 baseline
LED2,RX LED,1,Optional status,Not populated in M1 baseline
